start_note-position_geo-Latitude,start_note-position_geo-Longitude,start_note-position_geo-Altitude,start_note-position_geo-Accuracy,informations-name,informations-quartier_village,informations-nombre_total_wc,informations-nombre_wc_fonctionnelle,informations-organisme_gestion,informations-prix,informations-jours_ouverture,informations-heure_ouverture,informations-heure_fermeture,informations-entretien,informations-image_wc,informations-observation
7.5099779,1.1652955,256.6000061035156,5.461,LATRINE FAMILIALE,Agbonou_Koeroma,,,,,,,,,1669807453357.jpg,
7.52652,1.1533008,299.79998779296875,4.9,WC du marché des ignames,Djama,5,0,Mairie,0,,,,,1669807524606.jpg,Le WC n'est plus utilisé.
7.525229,1.1486218,314.0,4.9,WC de la station centre culturel,Agbonou_Gare,11,11,Marie d'atakpame,0,,,,,1669737800357.jpg,Les WC et les urinoir sont en réfection. Bientôt ça sera fonctionnel
7.5593546,1.1480177,448.1000061035156,4.7,Gbecon,,1,1,CDQ,O,lundi mardi mercredi jeudi vendredi samedi dimanche,,,Trimestriel,1669721308514.jpg,
7.5037254,1.1696832,252.5,4.888,LATRINES FAMILIALES,Kamina,,,,,,,,Journalier,1669717896586.jpg,
7.5257848,1.1289749,336.1000061035156,4.814,Akpesseme,Gnagna,10,10,Individu,25,lundi mardi mercredi jeudi vendredi samedi dimanche,00:00:00.000Z,,Journalier,1669388463252.jpg,Manque d'entretien
7.5319512,1.1253202,357.6999816894531,4.774,Ezi,Gnagna,10,9,Individu,50,lundi mardi mercredi jeudi vendredi samedi dimanche,00:01:00.000Z,22:59:00.000Z,Journalier,1669380657123.jpg,Rien
7.5390613,1.1246708,368.79998779296875,4.7,WC public kotokoli zogo,,6,6,Mairie,25.0,lundi mardi mercredi jeudi vendredi samedi dimanche,05:00:00.000Z,19:00:00.000Z,Journalier,1669644025189.jpg,Les portes sont en mauvais état
7.5432641,1.1267935,393.79998779296875,4.714,WC MADJATOM,,6,0,Rien,O,,12:46:00.000Z,,,1669639792351.jpg,"Non pratiquable,"
7.5242375,1.148457,315.8999938964844,4.9,WC de la poste d'agbonou,Agbonou_Gare,6,0,,,,,,,1669648893834.jpg,WC non fonctionnel
7.5224432,1.1477209,304.5,4.95,Urinoir public,Agbonou_Gare,5,5,Privé,50,lundi mardi mercredi jeudi vendredi samedi dimanche,07:00:00.000Z,19:00:00.000Z,Journalier,1669647339416.jpg,
7.5058265,1.1749292,257.64324951171875,4.7,SOS Ilé Issa kopé,,1,1,Chefferie religieuse musulmane,,lundi mardi mercredi jeudi vendredi samedi dimanche,03:00:00.000Z,23:00:00.000Z,Journalier,1669647338188.jpg,
7.5052388,1.1785965,257.98992919921875,4.74,FACOFPE Chefferie,,1,1,Chefferie,,lundi mardi mercredi jeudi vendredi samedi dimanche,04:00:00.000Z,22:30:00.000Z,Mensuel,1669644811893.jpg,
7.5051221,1.179501,258.2196044921875,4.7,WC FACOEPE DE Ilé Issa kopé,,1,1,CVD,,lundi mardi mercredi jeudi vendredi samedi dimanche,03:00:00.000Z,22:00:00.000Z,Mensuel,1669644377003.jpg,Construit sous le financement de SOS VILLAGES D'ENFANTS
7.4861859,1.1633878,253.9580078125,4.7,WCADICH Atalo Gbomaho,Atalo_Gbomaho,1,1,Pas,,lundi mardi mercredi jeudi vendredi samedi dimanche,,,Mensuel,1669374767846.jpg,Au total 03 wc de ADICH de cette forme dans le village
7.4821922,1.1873424,225.70877075195312,4.9,PADAT (Projet d'appui au Développement Agricole au Togo),,1,1,CVD,0,lundi mardi mercredi jeudi samedi vendredi dimanche,,,Mensuel,1669387506596.jpg,
7.527759,1.1287572,346.6000061035156,4.785,Esperance,Gnagna,3,2,,25 Francs,lundi mardi jeudi mercredi vendredi samedi dimanche,,,Journalier,1669387758594.jpg,
7.5262195,1.1349512,342.0,4.9,WC de la station Nyekonakpoe,Nyekonakpoe,6,6,Mairie,50,mardi lundi mercredi jeudi vendredi samedi dimanche,06:00:00.000Z,17:00:00.000Z,Journalier,1669388883040.jpg,
7.5228294,1.1346984,329.8999938964844,3.9,WC public,Nyekonakpoe,7,0,Mairie,,,,,,1669376685109.jpg,WC abandonné
7.5262987,1.1350679,342.0,4.972,WC gare routière nykonakpoe,Nyekonakpoe,6,6,,25frs,lundi mardi mercredi jeudi vendredi samedi dimanche,06:00:00.000Z,18:00:00.000Z,Journalier,1669302839647.jpg,"3 cabine homme et 3 cabine femme 
3 douches"
